"Modelo","Acuracia","Sensibilidade","Especificidade","Precisao","Recall","F1","AUC","Acc_CV","Cenario","Painel_Base","N_Features","Features","Origens","Custo_Total","Custo_Componentes"
"Gradient Boosting",75.79,87.5,63.83,71.19,87.5,78.5,78.46,82.13,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",82.11,97.92,65.96,74.6,97.92,84.68,87.72,79.91,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",83.16,87.5,78.72,80.77,87.5,84,88.74,74.08,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,78.57,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",67.37,43.75,91.49,84,43.75,57.53,85.11,68.34,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",81.05,91.67,70.21,75.86,91.67,83.02,88.87,66.03,"70/30","raw_top_12",12,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",85.26,95.83,74.47,79.31,95.83,86.79,89.1,79.47,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",73.68,87.5,59.57,68.85,87.5,77.06,82.07,78.57,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",26.32,10.42,42.55,15.63,10.42,12.5,78.06,21.87,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",75.79,87.5,63.83,71.19,87.5,78.5,79.3,80.35,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",84.21,97.92,70.21,77.05,97.92,86.24,87.85,80.36,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",82.11,87.5,76.6,79.25,87.5,83.17,89.54,73.64,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,78.57,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",68.42,45.83,91.49,84.62,45.83,59.46,84,67.45,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",80,87.5,72.34,76.36,87.5,81.55,88.92,65.61,"70/30","raw_top_13",13,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",80,87.5,72.34,76.36,87.5,81.55,86.79,77.69,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",77.89,85.42,70.21,74.55,85.42,79.61,85.59,78.13,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",27.37,10.42,44.68,16.13,10.42,12.66,78.81,22.76,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",74.74,85.42,63.83,70.69,85.42,77.36,77.79,83.47,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",78.95,93.75,63.83,72.58,93.75,81.82,85.77,82.14,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",82.11,87.5,76.6,79.25,87.5,83.17,89.63,73.18,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,78.57,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",67.37,43.75,91.49,84,43.75,57.53,84.09,67.89,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",81.05,93.75,68.09,75,93.75,83.33,88.59,66.96,"70/30","raw_top_14",14,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA","Antropometria + Laboratorio + Bioimpedancia + HFA",10,"Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",83.16,95.83,70.21,76.67,95.83,85.19,85.95,82.15,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",75.79,89.58,61.7,70.49,89.58,78.9,82.03,79.9,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",23.16,10.42,36.17,14.29,10.42,12.05,81.96,18.3,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",74.74,85.42,63.83,70.69,85.42,77.36,77.79,83.47,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",82.11,95.83,68.09,75.41,95.83,84.4,86.21,83.04,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",83.16,89.58,76.6,79.63,89.58,84.31,90.91,74.09,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,78.57,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",80,83.33,76.6,78.43,83.33,80.81,84.18,71.47,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",82.11,93.75,70.21,76.27,93.75,84.11,88.83,66.05,"70/30","raw_top_15",15,"CRP, VitaminD, ECW, BM, TBFR, AST, ECF_TBW, LM, HDL, HFA, Weight, TFC, TBW, VFA, Hyperlipidemia","Historia + Antropometria + Laboratorio + Bioimpedancia + HFA",11,"Historia=1 + Antropometria=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",75.79,87.5,63.83,71.19,87.5,78.5,81.12,75.89,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",69.47,81.25,57.45,66.1,81.25,72.9,76.04,76.8,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",27.37,12.5,42.55,18.18,12.5,14.81,76.44,20.55,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",71.58,85.42,57.45,67.21,85.42,75.23,78.1,81.24,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",69.47,87.5,51.06,64.62,87.5,74.34,80.23,75,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",67.37,79.17,55.32,64.41,79.17,71.03,73.49,74.11,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",70.53,85.42,55.32,66.13,85.42,74.55,70.21,80.36,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",74.74,91.67,57.45,68.75,91.67,78.57,78.59,75.9,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",68.42,79.17,57.45,65.52,79.17,71.7,74.02,71.01,"70/30","pruned_top_03",3,"CRP, VitaminD, ECW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",75.79,87.5,63.83,71.19,87.5,78.5,82.09,74.11,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",70.53,79.17,61.7,67.86,79.17,73.08,80.12,78.13,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",27.37,12.5,42.55,18.18,12.5,14.81,76.57,22.32,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",71.58,85.42,57.45,67.21,85.42,75.23,78.19,78.12,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",71.58,87.5,55.32,66.67,87.5,75.68,80.63,75.89,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",73.68,87.5,59.57,68.85,87.5,77.06,82.54,75,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",69.47,75,63.83,67.92,75,71.29,72.36,80.8,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",72.63,91.67,53.19,66.67,91.67,77.19,80.05,76.34,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",70.53,83.33,57.45,66.67,83.33,74.07,77.04,72.36,"70/30","pruned_top_04",4,"CRP, VitaminD, ECW, TBFR","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",75.79,87.5,63.83,71.19,87.5,78.5,83.38,74.57,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",74.74,87.5,61.7,70,87.5,77.78,77.7,78.12,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",27.37,12.5,42.55,18.18,12.5,14.81,77.7,20.98,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",74.74,89.58,59.57,69.35,89.58,78.18,79.32,79.46,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",72.63,91.67,53.19,66.67,91.67,77.19,82.67,74.12,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",73.68,79.17,68.09,71.7,79.17,75.25,80.19,72.76,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.45,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",72.63,91.67,53.19,66.67,91.67,77.19,81.47,75.91,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",67.37,77.08,57.45,64.91,77.08,70.48,73.54,71.9,"70/30","pruned_top_05",5,"CRP, VitaminD, ECW, TBFR, AST","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",78.95,93.75,63.83,72.58,93.75,81.82,86.08,76.34,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",74.74,87.5,61.7,70,87.5,77.78,80.21,77.67,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",26.32,12.5,40.43,17.65,12.5,14.63,80.5,20.99,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",72.63,89.58,55.32,67.19,89.58,76.79,79.28,78.58,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",75.79,93.75,57.45,69.23,93.75,79.65,84,78.59,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",72.63,75,70.21,72,75,73.47,82.6,75.44,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.45,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",73.68,91.67,55.32,67.69,91.67,77.88,82.71,75.03,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",75.79,87.5,63.83,71.19,87.5,78.5,80.5,66.53,"70/30","pruned_top_06",6,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",80,95.83,63.83,73.02,95.83,82.88,85.33,77.26,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Random Forest",73.68,89.58,57.45,68.25,89.58,77.48,79.39,78.12,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"AdaBoost",26.32,10.42,42.55,15.63,10.42,12.5,80.81,21,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Gradient Boosting",74.74,89.58,59.57,69.35,89.58,78.18,78.72,79.46,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"MLP",74.74,95.83,53.19,67.65,95.83,79.31,83.11,79.47,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"SVM Radial",73.68,81.25,65.96,70.91,81.25,75.73,81.6,76.78,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.45,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Naive Bayes",74.74,91.67,57.45,68.75,91.67,78.57,82.27,75.46,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"KNN",77.89,91.67,63.83,72.13,91.67,80.73,80.81,65.6,"70/30","pruned_top_07",7,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL","Laboratorio + Bioimpedancia",5,"Laboratorio=2 + Bioimpedancia=3"
"Logistic Regression",83.16,100,65.96,75,100,85.71,87.99,75.48,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",77.89,91.67,63.83,72.13,91.67,80.73,84.73,76.79,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",22.11,6.25,38.3,9.38,6.25,7.5,81.91,20.55,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",75.79,89.58,61.7,70.49,89.58,78.9,81.07,82.59,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",80,97.92,61.7,72.31,97.92,83.19,86.17,80.82,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",78.95,87.5,70.21,75,87.5,80.77,86.57,72.75,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Decision Tree",64.21,81.25,46.81,60.94,81.25,69.64,65.91,79.01,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Naive Bayes",68.42,43.75,93.62,87.5,43.75,58.33,84.53,70.57,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"KNN",73.68,87.5,59.57,68.85,87.5,77.06,84.24,71.91,"70/30","pruned_top_08",8,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA","Laboratorio + Bioimpedancia + HFA",9,"Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Logistic Regression",83.16,100,65.96,75,100,85.71,88.65,78.16,"70/30","pruned_top_09",9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Random Forest",77.89,89.58,65.96,72.88,89.58,80.37,86.24,78.13,"70/30","pruned_top_09",9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"AdaBoost",24.21,8.33,40.43,12.5,8.33,10,81.91,19.65,"70/30","pruned_top_09",9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"Gradient Boosting",75.79,89.58,61.7,70.49,89.58,78.9,81.07,82.59,"70/30","pruned_top_09",9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"MLP",82.11,100,63.83,73.85,100,84.96,86.88,82.16,"70/30","pruned_top_09",9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
"SVM Radial",81.05,89.58,72.34,76.79,89.58,82.69,87.1,74.56,"70/30","pruned_top_09",9,"CRP, VitaminD, ECW, TBFR, AST, ECF_TBW, HDL, HFA, Hyperlipidemia","Historia + Laboratorio + Bioimpedancia + HFA",10,"Historia=1 + Laboratorio=2 + Bioimpedancia=3 + HFA=4"
