Cenario,Modelo,Especificidade,Sensitividade,Falso_Positivo
Completa,Regressao Logistica,0.96,0.3548387096774194,0.040000000000000036
Completa,Regressao Logistica,0.96,0.3467741935483871,0.040000000000000036
Completa,Regressao Logistica,0.96,0.3387096774193548,0.040000000000000036
Completa,Regressao Logistica,0.96,0.33064516129032256,0.040000000000000036
Completa,Regressao Logistica,0.98,0.33064516129032256,0.020000000000000018
Completa,Regressao Logistica,0.98,0.3225806451612903,0.020000000000000018
Completa,Regressao Logistica,0.98,0.31451612903225806,0.020000000000000018
Completa,Regressao Logistica,0.98,0.3064516129032258,0.020000000000000018
Completa,Regressao Logistica,0.98,0.29838709677419356,0.020000000000000018
Completa,Regressao Logistica,0.98,0.2903225806451613,0.020000000000000018
Completa,Regressao Logistica,0.98,0.28225806451612906,0.020000000000000018
Completa,Regressao Logistica,0.98,0.27419354838709675,0.020000000000000018
Completa,Regressao Logistica,0.98,0.2661290322580645,0.020000000000000018
Completa,Regressao Logistica,0.98,0.25806451612903225,0.020000000000000018
Completa,Regressao Logistica,0.98,0.25,0.020000000000000018
Completa,Regressao Logistica,0.98,0.24193548387096775,0.020000000000000018
Completa,Regressao Logistica,0.98,0.23387096774193547,0.020000000000000018
Completa,Regressao Logistica,0.98,0.22580645161290322,0.020000000000000018
Completa,Regressao Logistica,0.98,0.21774193548387097,0.020000000000000018
Completa,Regressao Logistica,0.98,0.20967741935483872,0.020000000000000018
Completa,Regressao Logistica,0.98,0.20161290322580644,0.020000000000000018
Completa,Regressao Logistica,0.98,0.1935483870967742,0.020000000000000018
Completa,Regressao Logistica,0.98,0.18548387096774194,0.020000000000000018
Completa,Regressao Logistica,0.98,0.1774193548387097,0.020000000000000018
Completa,Regressao Logistica,0.98,0.1693548387096774,0.020000000000000018
Completa,Regressao Logistica,0.98,0.16129032258064516,0.020000000000000018
Completa,Regressao Logistica,0.98,0.1532258064516129,0.020000000000000018
Completa,Regressao Logistica,0.98,0.14516129032258066,0.020000000000000018
Completa,Regressao Logistica,0.98,0.13709677419354838,0.020000000000000018
Completa,Regressao Logistica,1,0.13709677419354838,0
Completa,Regressao Logistica,1,0.12903225806451613,0
Completa,Regressao Logistica,1,0.12096774193548387,0
Completa,Regressao Logistica,1,0.11290322580645161,0
Completa,Regressao Logistica,1,0.10483870967741936,0
Completa,Regressao Logistica,1,0.0967741935483871,0
